# PANGAEA frozen-encoder main results — arXiv:2412.04204 (Marsocci et al.), Table 5.
# Extracted from the arXiv HTML and verified against the paper Table 7 best/worst anchors
# (9 cells cross-checked, all exact). 12 foundation-model backbones x 11 datasets.
# Metric: mIoU (higher better); BioMassters is RMSE (lower better -> higher_is_better=False).
# Dataset names mapped to registry keys where they exist (HLS Burns->burn_scars, SN7->spacenet7,
# DynEarthNet->dynamic_earthnet, PASTIS->pastis, BioMassters->biomassters); others kept as slugs.
# Regenerate: see scripts/import_leaderboards.py provenance note. Static because the leaderboard is offline.
dataset,backbone,metric_name,metric_value,higher_is_better
biomassters,GFM-Swin,RMSE,46.83,False
burn_scars,Prithvi,mIoU,83.62,True
mados,Prithvi,mIoU,49.98,True
pastis,Prithvi,mIoU,33.93,True
sen1floods11,Prithvi,mIoU,90.37,True
xview2,Prithvi,mIoU,30.74,True
fbp,Prithvi,mIoU,46.81,True
dynamic_earthnet,Prithvi,mIoU,27.86,True
cropmap,Prithvi,mIoU,43.07,True
spacenet7,Prithvi,mIoU,56.54,True
ai4smallfarms,Prithvi,mIoU,26.86,True
biomassters,Prithvi,RMSE,39.99,False
burn_scars,RemoteCLIP,mIoU,76.59,True
mados,RemoteCLIP,mIoU,60.0,True
pastis,RemoteCLIP,mIoU,18.23,True
sen1floods11,RemoteCLIP,mIoU,74.26,True
xview2,RemoteCLIP,mIoU,48.85,True
fbp,RemoteCLIP,mIoU,69.19,True
dynamic_earthnet,RemoteCLIP,mIoU,31.78,True
cropmap,RemoteCLIP,mIoU,52.05,True
spacenet7,RemoteCLIP,mIoU,57.76,True
ai4smallfarms,RemoteCLIP,mIoU,25.12,True
biomassters,RemoteCLIP,RMSE,49.79,False
burn_scars,SatlasNet,mIoU,79.96,True
mados,SatlasNet,mIoU,55.86,True
pastis,SatlasNet,mIoU,17.51,True
sen1floods11,SatlasNet,mIoU,90.3,True
xview2,SatlasNet,mIoU,39.22,True
fbp,SatlasNet,mIoU,50.97,True
dynamic_earthnet,SatlasNet,mIoU,36.31,True
cropmap,SatlasNet,mIoU,46.97,True
spacenet7,SatlasNet,mIoU,61.88,True
ai4smallfarms,SatlasNet,mIoU,25.13,True
biomassters,SatlasNet,RMSE,41.67,False
burn_scars,Scale-MAE,mIoU,76.68,True
mados,Scale-MAE,mIoU,57.32,True
pastis,Scale-MAE,mIoU,24.55,True
sen1floods11,Scale-MAE,mIoU,74.13,True
xview2,Scale-MAE,mIoU,51.33,True
fbp,Scale-MAE,mIoU,67.19,True
dynamic_earthnet,Scale-MAE,mIoU,35.11,True
cropmap,Scale-MAE,mIoU,25.42,True
spacenet7,Scale-MAE,mIoU,62.96,True
ai4smallfarms,Scale-MAE,mIoU,21.47,True
biomassters,Scale-MAE,RMSE,47.15,False
burn_scars,SpectralGPT,mIoU,80.47,True
mados,SpectralGPT,mIoU,57.99,True
pastis,SpectralGPT,mIoU,35.44,True
sen1floods11,SpectralGPT,mIoU,89.07,True
xview2,SpectralGPT,mIoU,30.75,True
fbp,SpectralGPT,mIoU,33.42,True
dynamic_earthnet,SpectralGPT,mIoU,37.85,True
cropmap,SpectralGPT,mIoU,46.95,True
spacenet7,SpectralGPT,mIoU,58.86,True
ai4smallfarms,SpectralGPT,mIoU,26.75,True
biomassters,SpectralGPT,RMSE,36.11,False
burn_scars,S12-MoCo,mIoU,81.58,True
mados,S12-MoCo,mIoU,51.76,True
pastis,S12-MoCo,mIoU,34.49,True
sen1floods11,S12-MoCo,mIoU,89.26,True
xview2,S12-MoCo,mIoU,36.06,True
fbp,S12-MoCo,mIoU,53.02,True
dynamic_earthnet,S12-MoCo,mIoU,35.44,True
cropmap,S12-MoCo,mIoU,48.58,True
spacenet7,S12-MoCo,mIoU,57.64,True
ai4smallfarms,S12-MoCo,mIoU,25.38,True
biomassters,S12-MoCo,RMSE,40.21,False
burn_scars,S12-DINO,mIoU,81.72,True
mados,S12-DINO,mIoU,49.37,True
pastis,S12-DINO,mIoU,36.18,True
sen1floods11,S12-DINO,mIoU,88.61,True
xview2,S12-DINO,mIoU,33.68,True
fbp,S12-DINO,mIoU,51.15,True
dynamic_earthnet,S12-DINO,mIoU,34.81,True
cropmap,S12-DINO,mIoU,48.66,True
spacenet7,S12-DINO,mIoU,56.47,True
ai4smallfarms,S12-DINO,mIoU,25.62,True
biomassters,S12-DINO,RMSE,41.23,False
burn_scars,S12-MAE,mIoU,81.91,True
mados,S12-MAE,mIoU,49.9,True
pastis,S12-MAE,mIoU,32.03,True
sen1floods11,S12-MAE,mIoU,87.79,True
xview2,S12-MAE,mIoU,33.51,True
fbp,S12-MAE,mIoU,51.92,True
dynamic_earthnet,S12-MAE,mIoU,34.08,True
cropmap,S12-MAE,mIoU,45.8,True
spacenet7,S12-MAE,mIoU,57.13,True
ai4smallfarms,S12-MAE,mIoU,24.69,True
biomassters,S12-MAE,RMSE,41.07,False
burn_scars,S12-Data2Vec,mIoU,81.91,True
mados,S12-Data2Vec,mIoU,44.36,True
pastis,S12-Data2Vec,mIoU,34.32,True
sen1floods11,S12-Data2Vec,mIoU,88.15,True
xview2,S12-Data2Vec,mIoU,33.93,True
fbp,S12-Data2Vec,mIoU,48.82,True
dynamic_earthnet,S12-Data2Vec,mIoU,35.9,True
cropmap,S12-Data2Vec,mIoU,54.03,True
spacenet7,S12-Data2Vec,mIoU,58.23,True
ai4smallfarms,S12-Data2Vec,mIoU,24.23,True
biomassters,S12-Data2Vec,RMSE,41.91,False
