source,protocol,method,dataset,name,metric_name,metric_value,higher_is_better,bands,normalization,submission
geobench2,frozen_unet,frozen,biomassters,ssl4eos12_resnet50_sentinel2_all_decur,RMSE,0.950039433837617,False,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,biomassters,terramind_v1_large,RMSE,0.952792176084069,False,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,burn_scars,clay_v1_base,Multiclass_Jaccard_Index,0.8631663680076599,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,burn_scars,convnext_xlarge_fb_in22k,Multiclass_Jaccard_Index,0.7247549057006836,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,burn_scars,dinov3_convnext_large,Multiclass_Jaccard_Index,0.5372374176979064,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,burn_scars,dinov3_vitl16,Multiclass_Jaccard_Index,0.6289479374885559,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,burn_scars,dofa_large_patch16_224,Multiclass_Jaccard_Index,0.7568156480789184,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,burn_scars,prithvi_eo_v2_600_tl,Multiclass_Jaccard_Index,0.8857679843902588,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,burn_scars,satlas_resnet50_sentinel2_si_ms_satlas,Multiclass_Jaccard_Index,0.8451262354850769,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,burn_scars,satlas_swin_b_sentinel2_si_ms,Multiclass_Jaccard_Index,0.8437436103820801,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,burn_scars,ssl4eos12_resnet50_sentinel2_all_decur,Multiclass_Jaccard_Index,0.8693622350692749,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,burn_scars,terramind_v1_large,Multiclass_Jaccard_Index,0.8610412955284119,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,caffe,clay_v1_base,Multiclass_Jaccard_Index,0.6180953264236451,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,caffe,convnext_xlarge_fb_in22k,Multiclass_Jaccard_Index,0.6704623103141785,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,caffe,dinov3_convnext_large,Multiclass_Jaccard_Index,0.6701539874076843,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,caffe,dinov3_vitl16,Multiclass_Jaccard_Index,0.6561928391456604,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,caffe,dofa_large_patch16_224,Multiclass_Jaccard_Index,0.6388301372528076,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,caffe,prithvi_eo_v2_600_tl,Multiclass_Jaccard_Index,0.5664959669113159,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,caffe,satlas_resnet50_sentinel2_si_ms_satlas,Multiclass_Jaccard_Index,0.5332190036773682,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,caffe,satlas_swin_b_sentinel2_si_ms,Multiclass_Jaccard_Index,0.47304072976112366,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,caffe,ssl4eos12_resnet50_sentinel2_all_decur,Multiclass_Jaccard_Index,0.5542894005775452,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,caffe,terramind_v1_large,Multiclass_Jaccard_Index,0.5669228792190552,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,cloudsen12,clay_v1_base,Multiclass_Jaccard_Index,0.5918374419212341,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,cloudsen12,convnext_xlarge_fb_in22k,Multiclass_Jaccard_Index,0.5833553791046142,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,cloudsen12,dinov3_convnext_large,Multiclass_Jaccard_Index,0.5449539661407471,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,cloudsen12,dinov3_vitl16,Multiclass_Jaccard_Index,0.5844390749931335,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,cloudsen12,dofa_large_patch16_224,Multiclass_Jaccard_Index,0.5821498394012451,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,cloudsen12,prithvi_eo_v2_600_tl,Multiclass_Jaccard_Index,0.5971012592315674,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,cloudsen12,satlas_resnet50_sentinel2_si_ms_satlas,Multiclass_Jaccard_Index,0.6069034099578857,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,cloudsen12,satlas_swin_b_sentinel2_si_ms,Multiclass_Jaccard_Index,0.5829677224159241,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,cloudsen12,ssl4eos12_resnet50_sentinel2_all_decur,Multiclass_Jaccard_Index,0.6353374600410462,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,cloudsen12,terramind_v1_large,Multiclass_Jaccard_Index,0.5999057292938232,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,dynamic_earthnet,clay_v1_base,Multiclass_Jaccard_Index,0.2503395169973373,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,dynamic_earthnet,convnext_xlarge_fb_in22k,Multiclass_Jaccard_Index,0.2274883508682251,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,dynamic_earthnet,dinov3_convnext_large,Multiclass_Jaccard_Index,0.23694962263107294,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,dynamic_earthnet,dinov3_vitl16,Multiclass_Jaccard_Index,0.2954085409641266,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,dynamic_earthnet,dofa_large_patch16_224,Multiclass_Jaccard_Index,0.24732458889484402,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,dynamic_earthnet,prithvi_eo_v2_600_tl,Multiclass_Jaccard_Index,0.2538311094045639,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,dynamic_earthnet,satlas_resnet50_sentinel2_si_ms_satlas,Multiclass_Jaccard_Index,0.2745851337909698,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,dynamic_earthnet,satlas_swin_b_sentinel2_si_ms,Multiclass_Jaccard_Index,0.23126621246337892,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,dynamic_earthnet,ssl4eos12_resnet50_sentinel2_all_decur,Multiclass_Jaccard_Index,0.2474152624607086,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,dynamic_earthnet,terramind_v1_large,Multiclass_Jaccard_Index,0.3165229022502899,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,flair2,clay_v1_base,Multiclass_Jaccard_Index,0.4823830842971802,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,flair2,convnext_xlarge_fb_in22k,Multiclass_Jaccard_Index,0.46124573349952697,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,flair2,dinov3_convnext_large,Multiclass_Jaccard_Index,0.49836355447769165,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,flair2,dinov3_vitl16,Multiclass_Jaccard_Index,0.49004094004631044,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,flair2,dofa_large_patch16_224,Multiclass_Jaccard_Index,0.48680675625801084,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,flair2,prithvi_eo_v2_600_tl,Multiclass_Jaccard_Index,0.41347899436950686,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,flair2,satlas_resnet50_sentinel2_si_ms_satlas,Multiclass_Jaccard_Index,0.3758686959743499,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,flair2,satlas_swin_b_sentinel2_si_ms,Multiclass_Jaccard_Index,0.36724588871002195,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,flair2,ssl4eos12_resnet50_sentinel2_all_decur,Multiclass_Jaccard_Index,0.3992427706718445,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,flair2,terramind_v1_large,Multiclass_Jaccard_Index,0.3997353434562683,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,forestnet,clay_v1_base,Overall_Accuracy,0.5593152046203613,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,forestnet,convnext_xlarge_fb_in22k,Overall_Accuracy,0.5438066482543945,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,forestnet,dinov3_convnext_large,Overall_Accuracy,0.5073514699935913,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,forestnet,dinov3_vitl16,Overall_Accuracy,0.564551854133606,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,forestnet,dofa_large_patch16_224,Overall_Accuracy,0.5514602184295654,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,forestnet,prithvi_eo_v2_600_tl,Overall_Accuracy,0.5401812672615052,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,forestnet,satlas_resnet50_sentinel2_si_ms_satlas,Overall_Accuracy,0.4676737248897552,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,forestnet,satlas_swin_b_sentinel2_si_ms,Overall_Accuracy,0.47109768390655515,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,forestnet,ssl4eos12_resnet50_sentinel2_all_decur,Overall_Accuracy,0.5282980799674988,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,forestnet,terramind_v1_large,Overall_Accuracy,0.5385699987411499,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,fotw,clay_v1_base,Multiclass_Jaccard_Index,0.6029119729995728,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,fotw,convnext_xlarge_fb_in22k,Multiclass_Jaccard_Index,0.5733096122741699,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,fotw,dinov3_convnext_large,Multiclass_Jaccard_Index,0.5502568125724793,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,fotw,dinov3_vitl16,Multiclass_Jaccard_Index,0.5680528402328491,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,fotw,dofa_large_patch16_224,Multiclass_Jaccard_Index,0.5605397701263428,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,fotw,prithvi_eo_v2_600_tl,Multiclass_Jaccard_Index,0.5751493334770202,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,fotw,satlas_resnet50_sentinel2_si_ms_satlas,Multiclass_Jaccard_Index,0.5383041143417359,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,fotw,satlas_swin_b_sentinel2_si_ms,Multiclass_Jaccard_Index,0.5367459297180176,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,fotw,ssl4eos12_resnet50_sentinel2_all_decur,Multiclass_Jaccard_Index,0.5504446148872375,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,fotw,terramind_v1_large,Multiclass_Jaccard_Index,0.5398452401161193,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,kuro_siwo,clay_v1_base,Multiclass_Jaccard_Index,0.6558340191841125,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,kuro_siwo,convnext_xlarge_fb_in22k,Multiclass_Jaccard_Index,0.6664103746414185,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,kuro_siwo,dinov3_convnext_large,Multiclass_Jaccard_Index,0.6518287420272827,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,kuro_siwo,dinov3_vitl16,Multiclass_Jaccard_Index,0.659573245048523,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,kuro_siwo,dofa_large_patch16_224,Multiclass_Jaccard_Index,0.6161107897758484,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,kuro_siwo,prithvi_eo_v2_600_tl,Multiclass_Jaccard_Index,0.6553516507148742,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,kuro_siwo,satlas_resnet50_sentinel2_si_ms_satlas,Multiclass_Jaccard_Index,0.34861623644828793,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,kuro_siwo,satlas_swin_b_sentinel2_si_ms,Multiclass_Jaccard_Index,0.6219019174575806,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,kuro_siwo,ssl4eos12_resnet50_sentinel2_all_decur,Multiclass_Jaccard_Index,0.505074679851532,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,kuro_siwo,terramind_v1_large,Multiclass_Jaccard_Index,0.6466405272483826,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,pastis,clay_v1_base,Multiclass_Jaccard_Index,0.36533802151679995,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,pastis,convnext_xlarge_fb_in22k,Multiclass_Jaccard_Index,0.23706235885620114,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,pastis,dinov3_convnext_large,Multiclass_Jaccard_Index,0.23857928514480586,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,pastis,dinov3_vitl16,Multiclass_Jaccard_Index,0.2611454963684082,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,pastis,dofa_large_patch16_224,Multiclass_Jaccard_Index,0.27271643877029417,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,pastis,prithvi_eo_v2_600_tl,Multiclass_Jaccard_Index,0.33939309716224664,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,pastis,satlas_resnet50_sentinel2_si_ms_satlas,Multiclass_Jaccard_Index,0.22300182878971095,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,pastis,satlas_swin_b_sentinel2_si_ms,Multiclass_Jaccard_Index,0.31180062294006344,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,pastis,ssl4eos12_resnet50_sentinel2_all_decur,Multiclass_Jaccard_Index,0.2745226681232452,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,pastis,terramind_v1_large,Multiclass_Jaccard_Index,0.36186745166778567,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,so2sat,clay_v1_base,Overall_Accuracy,0.5507099390029907,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,so2sat,convnext_xlarge_fb_in22k,Overall_Accuracy,0.555578088760376,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,so2sat,dinov3_convnext_large,Overall_Accuracy,0.5910750508308411,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,so2sat,dinov3_vitl16,Overall_Accuracy,0.5965517163276672,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,so2sat,dofa_large_patch16_224,Overall_Accuracy,0.6008113503456116,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,so2sat,prithvi_eo_v2_600_tl,Overall_Accuracy,0.5320486903190613,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,so2sat,satlas_resnet50_sentinel2_si_ms_satlas,Overall_Accuracy,0.4750507056713104,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,so2sat,satlas_swin_b_sentinel2_si_ms,Overall_Accuracy,0.42981743812561035,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,so2sat,ssl4eos12_resnet50_sentinel2_all_decur,Overall_Accuracy,0.49513185024261475,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,so2sat,terramind_v1_large,Overall_Accuracy,0.5732251524925231,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet2,clay_v1_base,Multiclass_Jaccard_Index,0.8505783915519715,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet2,convnext_xlarge_fb_in22k,Multiclass_Jaccard_Index,0.8568554639816284,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet2,dinov3_convnext_large,Multiclass_Jaccard_Index,0.8580953359603882,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet2,dinov3_vitl16,Multiclass_Jaccard_Index,0.8618035674095154,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet2,dofa_large_patch16_224,Multiclass_Jaccard_Index,0.8485913395881652,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet2,prithvi_eo_v2_600_tl,Multiclass_Jaccard_Index,0.8459530353546143,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet2,satlas_resnet50_sentinel2_si_ms_satlas,Multiclass_Jaccard_Index,0.814406406879425,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet2,satlas_swin_b_sentinel2_si_ms,Multiclass_Jaccard_Index,0.8074000835418701,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet2,ssl4eos12_resnet50_sentinel2_all_decur,Multiclass_Jaccard_Index,0.8273669004440307,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet2,terramind_v1_large,Multiclass_Jaccard_Index,0.8287616729736328,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet7,clay_v1_base,Multiclass_Jaccard_Index,0.6126350998878479,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet7,convnext_xlarge_fb_in22k,Multiclass_Jaccard_Index,0.5962185144424439,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet7,dinov3_convnext_large,Multiclass_Jaccard_Index,0.5973273634910583,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet7,dinov3_vitl16,Multiclass_Jaccard_Index,0.5922052502632141,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet7,dofa_large_patch16_224,Multiclass_Jaccard_Index,0.5723516702651977,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet7,prithvi_eo_v2_600_tl,Multiclass_Jaccard_Index,0.5882753252983093,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet7,satlas_resnet50_sentinel2_si_ms_satlas,Multiclass_Jaccard_Index,0.5553010702133179,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet7,satlas_swin_b_sentinel2_si_ms,Multiclass_Jaccard_Index,0.5726171493530273,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet7,ssl4eos12_resnet50_sentinel2_all_decur,Multiclass_Jaccard_Index,0.5607540965080261,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,spacenet7,terramind_v1_large,Multiclass_Jaccard_Index,0.5543346762657165,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,treesatai,clay_v1_base,Multilabel_F1_Score,0.515553867816925,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,treesatai,convnext_xlarge_fb_in22k,Multilabel_F1_Score,0.5378529787063598,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,treesatai,dinov3_convnext_large,Multilabel_F1_Score,0.5140326619148254,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,treesatai,dinov3_vitl16,Multilabel_F1_Score,0.5410853505134583,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,treesatai,dofa_large_patch16_224,Multilabel_F1_Score,0.5355653524398803,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,treesatai,prithvi_eo_v2_600_tl,Multilabel_F1_Score,0.5026481926441193,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,treesatai,satlas_resnet50_sentinel2_si_ms_satlas,Multilabel_F1_Score,0.4520755231380463,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,treesatai,satlas_swin_b_sentinel2_si_ms,Multilabel_F1_Score,0.44138531684875487,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,treesatai,ssl4eos12_resnet50_sentinel2_all_decur,Multilabel_F1_Score,0.4876657247543335,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
geobench2,frozen_unet,frozen,treesatai,terramind_v1_large,Multilabel_F1_Score,0.4844973683357239,True,default,gb2_default,80100fc6-dc1a-4514-b946-341157eaf816
